Year,Month,Day,Value,data Completeness
2021,1,1,0.0,C
2021,1,2,0.0,C
2021,1,3,0.0,C
2021,1,4,0.0,C
2021,1,5,0.0,C
2021,1,6,0.0,C
2021,1,7,0.0,C
2021,1,8,0.0,C
2021,1,9,0.0,C
2021,1,10,0.0,C
2021,1,11,0.0,C
2021,1,12,0.0,C
2021,1,13,0.0,C
2021,1,14,0.0,C
2021,1,15,0.0,C
2021,1,16,0.0,C
2021,1,17,0.0,C
2021,1,18,0.0,C
2021,1,19,0.0,C
2021,1,20,0.0,C
2021,1,21,0.0,C
2021,1,22,0.0,C
2021,1,23,0.0,C
2021,1,24,0.0,C
2021,1,25,0.0,C
2021,1,26,0.0,C
2021,1,27,0.0,C
2021,1,28,0.0,C
2021,1,29,0.0,C
2021,1,30,0.0,C
2021,1,31,0.0,C
2021,2,1,0.0,C
2021,2,2,0.0,C
2021,2,3,0.0,C
2021,2,4,0.0,C
2021,2,5,0.0,C
2021,2,6,0.0,C
2021,2,7,0.0,C
2021,2,8,0.0,C
2021,2,9,0.1,C
2021,2,10,33.5,C
2021,2,11,0.0,C
2021,2,12,0.0,C
2021,2,13,0.0,C
2021,2,14,0.0,C
2021,2,15,0.0,C
2021,2,16,0.0,C
2021,2,17,0.0,C
2021,2,18,0.0,C
2021,2,19,0.0,C
2021,2,20,0.0,C
2021,2,21,0.0,C
2021,2,22,0.0,C
2021,2,23,0.0,C
2021,2,24,0.0,C
2021,2,25,1.6,C
2021,2,26,14.5,C
2021,2,27,10.5,C
2021,2,28,0.0,C
2021,3,1,0.0,C
2021,3,2,0.0,C
2021,3,3,0.1,C
2021,3,4,1.7,C
2021,3,5,0.2,C
2021,3,6,2.4,C
2021,3,7,0.1,C
2021,3,8,1.3,C
2021,3,9,0.0,C
2021,3,10,0.0,C
2021,3,11,0.0,C
2021,3,12,0.0,C
2021,3,13,0.0,C
2021,3,14,0.0,C
2021,3,15,0.0,C
2021,3,16,0.0,C
2021,3,17,0.0,C
2021,3,18,1.0,C
2021,3,19,0.0,C
2021,3,20,0.0,C
2021,3,21,0.0,C
2021,3,22,0.0,C
2021,3,23,0.0,C
2021,3,24,0.0,C
2021,3,25,0.0,C
2021,3,26,0.0,C
2021,3,27,0.0,C
2021,3,28,0.0,C
2021,3,29,0.0,C
2021,3,30,0.0,C
2021,3,31,0.0,C
2021,4,1,0.0,C
2021,4,2,0.0,C
2021,4,3,0.0,C
2021,4,4,1.1,C
2021,4,5,0.7,C
2021,4,6,0.0,C
2021,4,7,0.0,C
2021,4,8,0.0,C
2021,4,9,7.5,C
2021,4,10,0.0,C
2021,4,11,0.0,C
2021,4,12,0.0,C
2021,4,13,0.0,C
2021,4,14,0.0,C
2021,4,15,6.2,C
2021,4,16,0.7,C
2021,4,17,2.3,C
2021,4,18,0.0,C
2021,4,19,0.0,C
2021,4,20,0.1,C
2021,4,21,0.0,C
2021,4,22,0.0,C
2021,4,23,0.0,C
2021,4,24,0.0,C
2021,4,25,0.2,C
2021,4,26,0.5,C
2021,4,27,6.3,C
2021,4,28,4.5,C
2021,4,29,0.1,C
2021,4,30,0.0,C
2021,5,1,0.0,C
2021,5,2,1.7,C
2021,5,3,8.2,C
2021,5,4,14.8,C
2021,5,5,0.4,C
2021,5,6,0.0,C
2021,5,7,0.0,C
2021,5,8,0.0,C
2021,5,9,0.0,C
2021,5,10,0.0,C
2021,5,11,0.0,C
2021,5,12,0.0,C
2021,5,13,5.7,C
2021,5,14,0.0,C
2021,5,15,0.0,C
2021,5,16,0.0,C
2021,5,17,0.0,C
2021,5,18,0.4,C
2021,5,19,0.0,C
2021,5,20,0.0,C
2021,5,21,0.2,C
2021,5,22,1.8,C
2021,5,23,0.0,C
2021,5,24,10.8,C
2021,5,25,2.1,C
2021,5,26,2.2,C
2021,5,27,0.2,C
2021,5,28,0.0,C
2021,5,29,0.0,C
2021,5,30,0.0,C
2021,5,31,10.6,C
2021,6,1,45.6,C
2021,6,2,2.4,C
2021,6,3,0.0,C
2021,6,4,4.9,C
2021,6,5,0.0,C
2021,6,6,0.8,C
2021,6,7,0.0,C
2021,6,8,0.1,C
2021,6,9,29.5,C
2021,6,10,31.6,C
2021,6,11,33.8,C
2021,6,12,28.7,C
2021,6,13,1.9,C
2021,6,14,1.3,C
2021,6,15,1.4,C
2021,6,16,0.0,C
2021,6,17,11.7,C
2021,6,18,3.7,C
2021,6,19,0.0,C
2021,6,20,0.0,C
2021,6,21,0.6,C
2021,6,22,63.9,C
2021,6,23,67.7,C
2021,6,24,22.1,C
2021,6,25,6.2,C
2021,6,26,53.7,C
2021,6,27,9.7,C
2021,6,28,157.9,C
2021,6,29,4.3,C
2021,6,30,0.1,C
2021,7,1,0.4,C
2021,7,2,0.0,C
2021,7,3,0.0,C
2021,7,4,0.0,C
2021,7,5,3.6,C
2021,7,6,20.8,C
2021,7,7,8.5,C
2021,7,8,0.7,C
2021,7,9,0.0,C
2021,7,10,0.0,C
2021,7,11,0.1,C
2021,7,12,0.0,C
2021,7,13,0.0,C
2021,7,14,1.9,C
2021,7,15,0.0,C
2021,7,16,0.0,C
2021,7,17,0.0,#
2021,7,18,***,
2021,7,19,28.9,#
2021,7,20,97.1,C
2021,7,21,25.8,C
2021,7,22,0.0,C
2021,7,23,0.0,C
2021,7,24,31.8,C
2021,7,25,15.1,C
2021,7,26,0.0,C
2021,7,27,0.1,C
2021,7,28,0.0,C
2021,7,29,6.0,C
2021,7,30,9.0,C
2021,7,31,11.1,C
2021,8,1,3.3,C
2021,8,2,0.0,C
2021,8,3,17.0,C
2021,8,4,41.9,C
2021,8,5,26.7,C
2021,8,6,36.3,C
2021,8,7,0.0,C
2021,8,8,2.4,C
2021,8,9,43.0,C
2021,8,10,20.9,C
2021,8,11,6.0,C
2021,8,12,6.3,C
2021,8,13,2.8,C
2021,8,14,4.0,C
2021,8,15,8.4,C
2021,8,16,4.6,C
2021,8,17,0.0,C
2021,8,18,0.0,C
2021,8,19,20.6,C
2021,8,20,0.0,C
2021,8,21,0.0,C
2021,8,22,0.0,C
2021,8,23,0.0,C
2021,8,24,15.4,C
2021,8,25,0.9,C
2021,8,26,1.0,C
2021,8,27,29.6,C
2021,8,28,17.4,C
2021,8,29,19.3,C
2021,8,30,0.0,C
2021,8,31,13.3,C
2021,9,1,3.2,C
2021,9,2,0.1,C
2021,9,3,0.0,C
2021,9,4,2.8,C
2021,9,5,0.0,C
2021,9,6,0.0,C
2021,9,7,0.4,C
2021,9,8,0.0,C
2021,9,9,0.0,C
2021,9,10,0.0,C
2021,9,11,0.0,C
2021,9,12,0.0,C
2021,9,13,0.0,C
2021,9,14,7.0,C
2021,9,15,0.0,#
2021,9,16,1.6,C
2021,9,17,3.7,C
2021,9,18,0.2,C
2021,9,19,13.0,C
2021,9,20,8.8,C
2021,9,21,13.2,C
2021,9,22,0.0,C
2021,9,23,31.3,C
2021,9,24,5.9,C
2021,9,25,1.0,C
2021,9,26,0.0,C
2021,9,27,0.0,C
2021,9,28,0.0,C
2021,9,29,0.0,C
2021,9,30,0.0,C
2021,10,1,1.2,C
2021,10,2,0.0,C
2021,10,3,3.3,C
2021,10,4,0.0,C
2021,10,5,0.6,C
2021,10,6,0.0,C
2021,10,7,37.6,C
2021,10,8,324.0,C
2021,10,9,147.7,C
2021,10,10,41.1,C
2021,10,11,0.0,C
2021,10,12,0.1,C
2021,10,13,62.6,C
2021,10,14,14.3,C
2021,10,15,3.9,C
2021,10,16,0.0,C
2021,10,17,0.0,C
2021,10,18,0.0,C
2021,10,19,0.0,C
2021,10,20,0.0,C
2021,10,21,0.7,C
2021,10,22,0.1,C
2021,10,23,0.0,C
2021,10,24,0.0,C
2021,10,25,0.0,C
2021,10,26,0.0,#
2021,10,27,0.0,C
2021,10,28,0.0,C
2021,10,29,0.6,C
2021,10,30,1.5,C
2021,10,31,0.0,C
2021,11,1,0.0,C
2021,11,2,0.0,C
2021,11,3,0.0,C
2021,11,4,0.0,C
2021,11,5,0.0,C
2021,11,6,0.0,C
2021,11,7,0.0,C
2021,11,8,1.8,C
2021,11,9,0.0,C
2021,11,10,0.0,C
2021,11,11,0.0,C
2021,11,12,0.0,C
2021,11,13,0.0,C
2021,11,14,0.0,C
2021,11,15,0.0,C
2021,11,16,0.0,C
2021,11,17,0.0,C
2021,11,18,0.0,C
2021,11,19,0.0,C
2021,11,20,0.4,C
2021,11,21,0.0,C
2021,11,22,3.1,C
2021,11,23,0.0,C
2021,11,24,0.0,C
2021,11,25,0.0,C
2021,11,26,0.0,C
2021,11,27,0.0,C
2021,11,28,0.0,C
2021,11,29,0.0,C
2021,11,30,0.0,C
2021,12,1,0.0,C
2021,12,2,0.0,C
2021,12,3,0.0,C
2021,12,4,0.0,C
2021,12,5,0.0,C
2021,12,6,0.0,C
2021,12,7,0.0,C
2021,12,8,0.0,C
2021,12,9,0.0,C
2021,12,10,0.0,C
2021,12,11,0.0,C
2021,12,12,0.0,C
2021,12,13,0.0,C
2021,12,14,0.0,C
2021,12,15,0.5,C
2021,12,16,0.0,C
2021,12,17,0.0,C
2021,12,18,0.0,C
2021,12,19,0.0,C
2021,12,20,10.3,C
2021,12,21,2.7,C
2021,12,22,0.0,C
2021,12,23,1.3,C
2021,12,24,1.8,C
2021,12,25,0.0,C
2021,12,26,4.0,C
2021,12,27,1.8,C
2021,12,28,0.0,C
2021,12,29,0.0,C
2021,12,30,0.0,C
2021,12,31,0.0,C
2022,1,1,0.0,C
2022,1,2,0.0,C
2022,1,3,0.0,C
2022,1,4,0.0,C
2022,1,5,0.0,C
2022,1,6,0.0,C
2022,1,7,0.0,C
2022,1,8,0.0,C
2022,1,9,0.0,C
2022,1,10,0.0,#
2022,1,11,1.2,C
2022,1,12,0.0,C
2022,1,13,0.0,C
2022,1,14,0.0,C
2022,1,15,0.0,C
2022,1,16,0.0,C
2022,1,17,0.0,C
2022,1,18,0.1,C
2022,1,19,0.0,C
2022,1,20,0.0,C
2022,1,21,0.0,C
2022,1,22,1.0,C
2022,1,23,0.1,C
2022,1,24,1.1,C
2022,1,25,0.0,C
2022,1,26,0.0,C
2022,1,27,0.0,C
2022,1,28,0.0,C
2022,1,29,0.0,C
2022,1,30,0.0,C
2022,1,31,0.0,C
2022,2,1,2.0,C
2022,2,2,1.0,C
2022,2,3,0.7,C
2022,2,4,0.0,C
2022,2,5,0.0,C
2022,2,6,0.0,C
2022,2,7,0.0,C
2022,2,8,0.0,C
2022,2,9,0.0,C
2022,2,10,0.0,C
2022,2,11,0.0,C
2022,2,12,0.0,C
2022,2,13,1.4,C
2022,2,14,1.4,C
2022,2,15,0.0,C
2022,2,16,0.0,C
2022,2,17,3.2,C
2022,2,18,0.0,C
2022,2,19,20.5,C
2022,2,20,44.0,C
2022,2,21,42.2,C
2022,2,22,37.8,C
2022,2,23,10.9,C
2022,2,24,0.0,C
2022,2,25,0.0,C
2022,2,26,0.0,C
2022,2,27,0.0,C
2022,2,28,0.0,C
2022,3,1,0.0,C
2022,3,2,0.0,C
2022,3,3,0.0,C
2022,3,4,0.0,C
2022,3,5,0.0,C
2022,3,6,0.0,C
2022,3,7,4.9,C
2022,3,8,0.0,C
2022,3,9,0.0,C
2022,3,10,0.0,C
2022,3,11,0.0,C
2022,3,12,0.0,C
2022,3,13,0.0,C
2022,3,14,0.0,C
2022,3,15,0.0,C
2022,3,16,0.0,C
2022,3,17,0.0,C
2022,3,18,0.0,C
2022,3,19,0.0,C
2022,3,20,0.0,C
2022,3,21,0.0,C
2022,3,22,0.1,C
2022,3,23,56.2,C
2022,3,24,1.5,C
2022,3,25,1.0,C
2022,3,26,0.3,C
2022,3,27,0.0,C
2022,3,28,32.0,C
2022,3,29,0.0,C
2022,3,30,0.0,C
2022,3,31,0.0,C
2022,4,1,0.8,C
2022,4,2,1.1,C
2022,4,3,0.0,C
2022,4,4,0.0,C
2022,4,5,0.0,C
2022,4,6,0.0,C
2022,4,7,0.0,C
2022,4,8,0.0,C
2022,4,9,0.0,C
2022,4,10,0.0,C
2022,4,11,0.0,C
2022,4,12,0.0,C
2022,4,13,0.0,C
2022,4,14,0.0,C
2022,4,15,0.0,C
2022,4,16,0.0,C
2022,4,17,0.3,C
2022,4,18,0.0,C
2022,4,19,0.3,C
2022,4,20,0.0,C
2022,4,21,0.0,C
2022,4,22,0.0,C
2022,4,23,0.0,C
2022,4,24,0.0,C
2022,4,25,0.0,C
2022,4,26,0.0,C
2022,4,27,0.0,C
2022,4,28,0.0,C
2022,4,29,0.0,C
2022,4,30,1.0,C
2022,5,1,32.6,C
2022,5,2,24.2,C
2022,5,3,0.0,C
2022,5,4,0.0,C
2022,5,5,0.0,C
2022,5,6,0.0,C
2022,5,7,1.0,C
2022,5,8,0.0,C
2022,5,9,0.0,C
2022,5,10,1.2,C
2022,5,11,61.2,C
2022,5,12,122.6,C
2022,5,13,94.8,C
2022,5,14,3.1,C
2022,5,15,25.1,C
2022,5,16,3.3,C
2022,5,17,0.0,C
2022,5,18,0.0,C
2022,5,19,0.0,C
2022,5,20,0.0,C
2022,5,21,0.0,C
2022,5,22,0.2,C
2022,5,23,6.3,C
2022,5,24,10.6,C
2022,5,25,1.2,C
2022,5,26,1.0,C
2022,5,27,17.6,C
2022,5,28,0.0,C
2022,5,29,0.0,C
2022,5,30,0.0,C
2022,5,31,1.2,C
2022,6,1,1.9,C
2022,6,2,3.1,C
2022,6,3,2.5,C
2022,6,4,0.1,C
2022,6,5,0.0,C
2022,6,6,5.9,C
2022,6,7,25.4,C
2022,6,8,64.8,C
2022,6,9,31.7,C
2022,6,10,26.3,C
2022,6,11,49.9,C
2022,6,12,1.9,C
2022,6,13,0.0,C
2022,6,14,50.6,C
2022,6,15,11.2,C
2022,6,16,0.9,C
2022,6,17,0.4,C
2022,6,18,2.3,C
2022,6,19,0.4,C
2022,6,20,4.0,C
2022,6,21,0.0,C
2022,6,22,0.0,C
2022,6,23,0.0,C
2022,6,24,0.0,C
2022,6,25,0.0,C
2022,6,26,0.8,C
2022,6,27,0.1,C
2022,6,28,0.0,C
2022,6,29,0.8,C
2022,6,30,65.3,C
2022,7,1,56.3,C
2022,7,2,81.6,C
2022,7,3,0.0,C
2022,7,4,0.0,C
2022,7,5,0.2,C
2022,7,6,1.6,C
2022,7,7,10.3,C
2022,7,8,0.0,C
2022,7,9,0.0,C
2022,7,10,0.0,C
2022,7,11,0.0,C
2022,7,12,0.0,C
2022,7,13,0.0,C
2022,7,14,0.0,C
2022,7,15,0.0,C
2022,7,16,2.3,C
2022,7,17,0.1,C
2022,7,18,0.3,C
2022,7,19,0.0,C
2022,7,20,0.5,C
2022,7,21,0.0,C
2022,7,22,0.0,C
2022,7,23,0.0,C
2022,7,24,0.0,C
2022,7,25,0.0,C
