Year,Month,Day,Value,data Completeness
2021,1,1,27,C
2021,1,2,41,C
2021,1,3,57,C
2021,1,4,59,C
2021,1,5,60,C
2021,1,6,69,C
2021,1,7,62,C
2021,1,8,42,C
2021,1,9,23,C
2021,1,10,26,C
2021,1,11,34,C
2021,1,12,19,C
2021,1,13,35,C
2021,1,14,47,C
2021,1,15,54,C
2021,1,16,64,C
2021,1,17,51,C
2021,1,18,46,C
2021,1,19,58,C
2021,1,20,65,C
2021,1,21,70,C
2021,1,22,77,C
2021,1,23,75,C
2021,1,24,82,C
2021,1,25,70,C
2021,1,26,75,C
2021,1,27,75,C
2021,1,28,64,C
2021,1,29,53,C
2021,1,30,63,C
2021,1,31,62,C
2021,2,1,73,C
2021,2,2,74,C
2021,2,3,65,C
2021,2,4,63,C
2021,2,5,68,C
2021,2,6,70,C
2021,2,7,71,C
2021,2,8,77,C
2021,2,9,74,C
2021,2,10,87,C
2021,2,11,74,C
2021,2,12,65,C
2021,2,13,74,C
2021,2,14,72,C
2021,2,15,66,C
2021,2,16,67,C
2021,2,17,65,C
2021,2,18,60,C
2021,2,19,62,C
2021,2,20,71,C
2021,2,21,72,C
2021,2,22,76,C
2021,2,23,71,C
2021,2,24,77,C
2021,2,25,84,C
2021,2,26,84,C
2021,2,27,87,C
2021,2,28,81,C
2021,3,1,80,C
2021,3,2,71,C
2021,3,3,80,C
2021,3,4,87,C
2021,3,5,92,C
2021,3,6,93,C
2021,3,7,90,C
2021,3,8,84,C
2021,3,9,78,C
2021,3,10,79,C
2021,3,11,78,C
2021,3,12,77,C
2021,3,13,75,C
2021,3,14,79,C
2021,3,15,75,C
2021,3,16,79,C
2021,3,17,80,C
2021,3,18,89,C
2021,3,19,83,C
2021,3,20,81,C
2021,3,21,70,C
2021,3,22,57,C
2021,3,23,57,C
2021,3,24,67,C
2021,3,25,68,C
2021,3,26,75,C
2021,3,27,80,C
2021,3,28,79,C
2021,3,29,81,C
2021,3,30,77,C
2021,3,31,78,C
2021,4,1,78,C
2021,4,2,79,C
2021,4,3,73,C
2021,4,4,87,C
2021,4,5,84,C
2021,4,6,78,C
2021,4,7,76,C
2021,4,8,73,C
2021,4,9,82,C
2021,4,10,64,C
2021,4,11,72,C
2021,4,12,80,C
2021,4,13,77,C
2021,4,14,85,C
2021,4,15,92,C
2021,4,16,88,C
2021,4,17,89,C
2021,4,18,65,C
2021,4,19,65,C
2021,4,20,72,C
2021,4,21,72,C
2021,4,22,73,C
2021,4,23,77,C
2021,4,24,83,C
2021,4,25,85,C
2021,4,26,79,C
2021,4,27,91,C
2021,4,28,87,C
2021,4,29,71,C
2021,4,30,77,C
2021,5,1,76,C
2021,5,2,81,C
2021,5,3,90,C
2021,5,4,83,C
2021,5,5,78,C
2021,5,6,80,C
2021,5,7,77,C
2021,5,8,79,C
2021,5,9,79,C
2021,5,10,75,C
2021,5,11,76,C
2021,5,12,77,C
2021,5,13,79,C
2021,5,14,76,C
2021,5,15,74,C
2021,5,16,72,C
2021,5,17,74,C
2021,5,18,74,C
2021,5,19,73,C
2021,5,20,73,C
2021,5,21,73,C
2021,5,22,76,C
2021,5,23,72,C
2021,5,24,80,C
2021,5,25,82,C
2021,5,26,77,C
2021,5,27,77,C
2021,5,28,77,C
2021,5,29,79,C
2021,5,30,81,C
2021,5,31,85,C
2021,6,1,92,C
2021,6,2,85,C
2021,6,3,78,C
2021,6,4,83,C
2021,6,5,72,C
2021,6,6,74,C
2021,6,7,79,C
2021,6,8,78,C
2021,6,9,86,C
2021,6,10,83,C
2021,6,11,81,C
2021,6,12,89,C
2021,6,13,85,C
2021,6,14,82,C
2021,6,15,80,C
2021,6,16,76,C
2021,6,17,78,C
2021,6,18,79,C
2021,6,19,79,C
2021,6,20,80,C
2021,6,21,82,C
2021,6,22,89,C
2021,6,23,87,C
2021,6,24,91,C
2021,6,25,88,C
2021,6,26,90,C
2021,6,27,88,C
2021,6,28,91,C
2021,6,29,83,C
2021,6,30,80,C
2021,7,1,79,C
2021,7,2,78,C
2021,7,3,80,C
2021,7,4,80,C
2021,7,5,80,C
2021,7,6,79,C
2021,7,7,82,C
2021,7,8,79,C
2021,7,9,76,C
2021,7,10,77,C
2021,7,11,78,C
2021,7,12,76,C
2021,7,13,73,C
2021,7,14,76,C
2021,7,15,73,C
2021,7,16,79,C
2021,7,17,79,#
2021,7,18,***,
2021,7,19,92,#
2021,7,20,95,C
2021,7,21,93,C
2021,7,22,78,C
2021,7,23,77,C
2021,7,24,83,C
2021,7,25,81,C
2021,7,26,80,C
2021,7,27,76,C
2021,7,28,80,C
2021,7,29,83,C
2021,7,30,85,C
2021,7,31,85,C
2021,8,1,83,C
2021,8,2,80,C
2021,8,3,87,C
2021,8,4,82,C
2021,8,5,92,C
2021,8,6,91,C
2021,8,7,85,C
2021,8,8,87,C
2021,8,9,87,C
2021,8,10,88,C
2021,8,11,85,C
2021,8,12,83,C
2021,8,13,84,C
2021,8,14,86,C
2021,8,15,88,C
2021,8,16,84,C
2021,8,17,79,C
2021,8,18,78,C
2021,8,19,84,C
2021,8,20,78,C
2021,8,21,76,C
2021,8,22,76,C
2021,8,23,77,C
2021,8,24,80,C
2021,8,25,80,C
2021,8,26,79,C
2021,8,27,88,C
2021,8,28,77,C
2021,8,29,81,C
2021,8,30,80,C
2021,8,31,86,C
2021,9,1,84,C
2021,9,2,80,C
2021,9,3,80,C
2021,9,4,80,C
2021,9,5,78,C
2021,9,6,77,C
2021,9,7,78,C
2021,9,8,73,C
2021,9,9,72,C
2021,9,10,72,C
2021,9,11,76,C
2021,9,12,78,C
2021,9,13,79,C
2021,9,14,83,C
2021,9,15,71,#
2021,9,16,77,C
2021,9,17,76,C
2021,9,18,79,C
2021,9,19,84,C
2021,9,20,84,C
2021,9,21,82,C
2021,9,22,78,C
2021,9,23,88,C
2021,9,24,80,C
2021,9,25,75,C
2021,9,26,71,C
2021,9,27,76,C
2021,9,28,75,C
2021,9,29,77,C
2021,9,30,79,C
2021,10,1,81,C
2021,10,2,75,C
2021,10,3,80,C
2021,10,4,71,C
2021,10,5,70,C
2021,10,6,69,C
2021,10,7,76,C
2021,10,8,95,C
2021,10,9,92,C
2021,10,10,86,C
2021,10,11,64,C
2021,10,12,63,C
2021,10,13,90,C
2021,10,14,85,C
2021,10,15,83,C
2021,10,16,70,C
2021,10,17,66,C
2021,10,18,69,C
2021,10,19,75,C
2021,10,20,78,C
2021,10,21,78,C
2021,10,22,77,C
2021,10,23,74,C
2021,10,24,68,C
2021,10,25,63,C
2021,10,26,71,#
2021,10,27,77,C
2021,10,28,77,C
2021,10,29,77,C
2021,10,30,79,C
2021,10,31,75,C
2021,11,1,75,C
2021,11,2,77,C
2021,11,3,75,C
2021,11,4,78,C
2021,11,5,84,C
2021,11,6,79,C
2021,11,7,83,C
2021,11,8,55,C
2021,11,9,41,C
2021,11,10,31,C
2021,11,11,38,C
2021,11,12,44,#
2021,11,13,42,C
2021,11,14,53,C
2021,11,15,62,C
2021,11,16,69,C
2021,11,17,73,C
2021,11,18,66,C
2021,11,19,76,C
2021,11,20,76,C
2021,11,21,82,C
2021,11,22,73,C
2021,11,23,64,C
2021,11,24,60,C
2021,11,25,58,C
2021,11,26,58,C
2021,11,27,57,C
2021,11,28,66,C
2021,11,29,61,C
2021,11,30,52,C
2021,12,1,29,C
2021,12,2,30,C
2021,12,3,23,C
2021,12,4,35,C
2021,12,5,46,C
2021,12,6,50,C
2021,12,7,58,C
2021,12,8,62,C
2021,12,9,68,C
2021,12,10,70,C
2021,12,11,71,C
2021,12,12,72,C
2021,12,13,62,C
2021,12,14,69,C
2021,12,15,77,C
2021,12,16,80,C
2021,12,17,64,C
2021,12,18,51,C
2021,12,19,42,C
2021,12,20,77,C
2021,12,21,86,C
2021,12,22,77,C
2021,12,23,75,C
2021,12,24,82,C
2021,12,25,71,C
2021,12,26,73,C
2021,12,27,78,C
2021,12,28,70,C
2021,12,29,70,C
2021,12,30,74,C
2021,12,31,77,C
2022,1,1,75,C
2022,1,2,74,C
2022,1,3,78,C
2022,1,4,72,C
2022,1,5,72,C
2022,1,6,77,C
2022,1,7,77,C
2022,1,8,71,C
2022,1,9,78,C
2022,1,10,74,C
2022,1,11,63,C
2022,1,12,69,C
2022,1,13,57,C
2022,1,14,72,C
2022,1,15,80,C
2022,1,16,79,C
2022,1,17,84,C
2022,1,18,79,C
2022,1,19,66,C
2022,1,20,69,C
2022,1,21,80,C
2022,1,22,92,C
2022,1,23,82,C
2022,1,24,87,C
2022,1,25,82,C
2022,1,26,82,C
2022,1,27,84,C
2022,1,28,88,C
2022,1,29,82,C
2022,1,30,60,C
2022,1,31,68,C
2022,2,1,84,C
2022,2,2,88,C
2022,2,3,83,C
2022,2,4,65,C
2022,2,5,67,C
2022,2,6,74,C
2022,2,7,85,C
2022,2,8,76,C
2022,2,9,77,C
2022,2,10,81,C
2022,2,11,81,C
2022,2,12,83,C
2022,2,13,85,C
2022,2,14,72,C
2022,2,15,78,C
2022,2,16,76,C
2022,2,17,87,C
2022,2,18,85,C
2022,2,19,90,C
2022,2,20,91,C
2022,2,21,93,C
2022,2,22,95,C
2022,2,23,71,C
2022,2,24,70,C
2022,2,25,69,C
2022,2,26,75,C
2022,2,27,79,C
2022,2,28,69,C
2022,3,1,76,C
2022,3,2,83,C
2022,3,3,76,C
2022,3,4,77,C
2022,3,5,86,C
2022,3,6,77,C
2022,3,7,66,C
2022,3,8,47,C
2022,3,9,53,C
2022,3,10,58,C
2022,3,11,71,C
2022,3,12,67,C
2022,3,13,75,C
2022,3,14,79,C
2022,3,15,81,C
2022,3,16,79,C
2022,3,17,86,C
2022,3,18,86,C
2022,3,19,87,C
2022,3,20,90,C
2022,3,21,91,C
2022,3,22,94,C
2022,3,23,95,C
2022,3,24,93,C
2022,3,25,92,C
2022,3,26,90,C
2022,3,27,83,C
2022,3,28,90,C
2022,3,29,82,C
2022,3,30,74,C
2022,3,31,70,C
2022,4,1,84,C
2022,4,2,74,C
2022,4,3,50,C
2022,4,4,52,C
2022,4,5,64,C
2022,4,6,71,C
2022,4,7,68,C
2022,4,8,49,C
2022,4,9,66,C
2022,4,10,67,C
2022,4,11,76,C
2022,4,12,79,C
2022,4,13,85,C
2022,4,14,68,C
2022,4,15,70,C
2022,4,16,75,C
2022,4,17,73,C
2022,4,18,75,C
2022,4,19,82,C
2022,4,20,77,C
2022,4,21,80,C
2022,4,22,86,C
2022,4,23,84,C
2022,4,24,80,C
2022,4,25,80,C
2022,4,26,81,C
2022,4,27,80,C
2022,4,28,82,C
2022,4,29,80,C
2022,4,30,88,C
2022,5,1,89,C
2022,5,2,81,C
2022,5,3,59,C
2022,5,4,62,C
2022,5,5,74,C
2022,5,6,77,C
2022,5,7,77,C
2022,5,8,70,C
2022,5,9,76,C
2022,5,10,90,C
2022,5,11,96,C
2022,5,12,95,C
2022,5,13,94,C
2022,5,14,93,C
2022,5,15,93,C
2022,5,16,83,C
2022,5,17,69,C
2022,5,18,49,C
2022,5,19,64,C
2022,5,20,77,C
2022,5,21,79,C
2022,5,22,85,C
2022,5,23,92,C
2022,5,24,96,C
2022,5,25,93,C
2022,5,26,90,C
2022,5,27,91,C
2022,5,28,83,C
2022,5,29,81,C
2022,5,30,80,C
2022,5,31,85,C
2022,6,1,82,C
2022,6,2,82,C
2022,6,3,83,C
2022,6,4,78,C
2022,6,5,79,C
2022,6,6,86,C
2022,6,7,89,C
2022,6,8,95,C
2022,6,9,93,C
2022,6,10,93,C
2022,6,11,91,C
2022,6,12,86,C
2022,6,13,82,C
2022,6,14,89,C
2022,6,15,88,C
2022,6,16,86,C
2022,6,17,80,C
2022,6,18,83,C
2022,6,19,83,C
2022,6,20,82,C
2022,6,21,81,C
2022,6,22,80,C
2022,6,23,76,C
2022,6,24,75,C
2022,6,25,77,C
2022,6,26,76,C
2022,6,27,76,C
2022,6,28,72,C
2022,6,29,79,C
2022,6,30,91,C
2022,7,1,86,C
2022,7,2,90,C
2022,7,3,83,C
2022,7,4,84,C
2022,7,5,84,C
2022,7,6,84,C
2022,7,7,88,C
2022,7,8,81,C
2022,7,9,81,C
2022,7,10,79,C
2022,7,11,75,C
2022,7,12,75,C
2022,7,13,73,C
2022,7,14,76,C
2022,7,15,79,C
2022,7,16,80,C
2022,7,17,79,C
2022,7,18,79,C
2022,7,19,77,C
2022,7,20,79,C
2022,7,21,76,C
2022,7,22,73,C
2022,7,23,76,C
2022,7,24,74,C
2022,7,25,76,C
2022,7,26,73,C
2022,7,27,71,C
2022,7,28,76,C
2022,7,29,76,C
2022,7,30,82,C
2022,7,31,77,C
2022,8,1,71,C
2022,8,2,73,C
2022,8,3,83,C
2022,8,4,89,C
2022,8,5,95,C
2022,8,6,89,C
2022,8,7,80,C
2022,8,8,88,C
2022,8,9,91,C
2022,8,10,90,C
2022,8,11,91,C
2022,8,12,94,C
2022,8,13,83,C
2022,8,14,79,C
2022,8,15,79,C
2022,8,16,82,C
2022,8,17,88,C
2022,8,18,87,C
2022,8,19,86,C
2022,8,20,85,C
2022,8,21,85,C
2022,8,22,79,C
2022,8,23,78,C
2022,8,24,72,C
2022,8,25,87,C
2022,8,26,82,C
2022,8,27,80,C
2022,8,28,83,C
2022,8,29,81,C
2022,8,30,82,C
2022,8,31,80,C
2022,9,1,76,C
2022,9,2,61,C
2022,9,3,52,C
2022,9,4,52,C
2022,9,5,49,C
2022,9,6,58,C
2022,9,7,82,C
2022,9,8,70,C
2022,9,9,53,C
2022,9,10,78,C
2022,9,11,80,C
2022,9,12,66,C
2022,9,13,55,C
2022,9,14,44,C
2022,9,15,50,C
2022,9,16,66,C
2022,9,17,71,C
2022,9,18,79,C
2022,9,19,77,C
2022,9,20,80,C
2022,9,21,73,C
2022,9,22,74,C
2022,9,23,78,C
2022,9,24,71,C
2022,9,25,73,C
2022,9,26,72,C
2022,9,27,73,C
2022,9,28,74,C
2022,9,29,83,C
2022,9,30,93,C
2022,10,1,87,C
2022,10,2,82,C
2022,10,3,77,C
2022,10,4,79,C
2022,10,5,77,C
2022,10,6,76,C
2022,10,7,77,C
2022,10,8,73,C
2022,10,9,66,C
2022,10,10,47,C
2022,10,11,44,C
2022,10,12,48,C
2022,10,13,58,C
2022,10,14,66,C
2022,10,15,50,C
2022,10,16,41,C
2022,10,17,41,C
2022,10,18,65,C
2022,10,19,49,C
2022,10,20,64,C
2022,10,21,69,C
2022,10,22,65,C
2022,10,23,71,C
2022,10,24,68,C
2022,10,25,64,C
2022,10,26,67,C
2022,10,27,70,C
